,date,place,race_num,race_rank,position,goal,id,name,tenji,shinnyu,start,time,weather,wind_dir,wind_st,wave,kimarite,age,belongs,weight,player_rank,country_win,country_sub,local_win,local_sub,motor,boat
45,180101,常滑,8,予選,4,6,3536,一色雅昭,6.76,4,0.21,.,晴,北西,4,3,差し,51,愛知,55,B1,3.46,16.39,4.9,24.68,50.0,27.93
46,180101,常滑,8,予選,5,5,3831,安藤裕貴,6.77,5,0.11,.,晴,北西,4,3,差し,43,愛知,53,B1,5.13,31.18,5.36,40.68,28.57,35.14
47,180101,常滑,8,予選,6,3,3690,河合三弘,6.74,6,0.14,1.53.9,晴,北西,4,3,差し,47,愛知,52,A2,5.46,35.51,5.82,39.77,22.73,27.68
48,180101,常滑,9,予選,1,2,3895,堀本裕也,6.74,1,0.23,1.51.1,晴,北西,4,3,抜き,41,愛知,49,A2,5.36,30.34,5.28,30.23,21.43,37.74
49,180101,常滑,9,予選,2,4,4728,山口亮,6.76,2,0.22,1.53.6,晴,北西,4,3,抜き,30,東京,54,B1,3.94,13.92,4.06,16.13,50.0,31.19
50,180101,常滑,9,予選,3,6,3498,白石浩二,6.73,3,0.27,.,晴,北西,4,3,抜き,49,兵庫,50,B1,3.31,12.16,3.11,5.26,38.46,39.32
51,180101,常滑,9,予選,4,1,3941,池田浩二,6.73,4,0.26,1.49.6,晴,北西,4,3,抜き,39,愛知,53,A1,7.66,56.25,8.4,74.0,14.29,36.28
52,180101,常滑,9,予選,5,3,4086,寺本重宣,6.73,5,0.36,1.52.7,晴,北西,4,3,抜き,37,東京,49,A1,6.56,51.2,6.82,60.61,58.33,44.25
53,180101,常滑,9,予選,6,5,4785,木幡純也,6.75,6,0.43,.,晴,北西,4,3,抜き,30,愛知,51,B1,4.51,21.59,4.53,28.04,11.11,32.48
54,180101,常滑,10,予選,1,1,4586,磯部誠,6.68,1,0.24,1.49.2,晴,北西,4,3,逃げ,27,愛知,53,A1,6.99,52.82,6.54,47.37,46.15,35.96
55,180101,常滑,10,予選,2,4,3934,鋤柄貴俊,6.75,2,0.24,1.54.6,晴,北西,4,3,逃げ,40,愛知,52,A2,5.68,41.18,5.68,35.21,30.77,48.25
56,180101,常滑,10,予選,3,2,4435,服部達哉,6.75,3,0.25,1.49.8,晴,北西,4,3,逃げ,31,愛知,54,B1,5.77,33.7,5.8,34.55,52.38,42.61
57,180101,常滑,10,予選,4,6,4062,後藤陽介,6.82,4,0.4,.,晴,北西,4,3,逃げ,38,愛知,54,B1,5.25,34.23,4.71,33.33,33.33,34.51
58,180101,常滑,10,予選,5,3,4468,大池佑来,6.73,5,0.27,1.52.4,晴,北西,4,3,逃げ,31,東京,51,A1,6.09,35.35,6.62,46.67,31.58,48.21
59,180101,常滑,10,予選,6,5,4663,籾山佳岳,6.8,6,0.23,.,晴,北西,4,3,逃げ,35,愛知,51,B2,3.06,5.88,4.13,15.38,35.71,34.51
